dataset_id,text_id,input
inspec,dev_1470,when reference works are not books the new edition of the guide to reference books. the author considers the history of the guide to reference books grb and its importance in librarianship. he discusses the ways in which the new edition is taking advantage of changing times. grb has become a cornerstone of the literature of u s librarianship. the biggest change grb will undergo to become grs guide to reference sources will be designing it primarily as a web product.
inspec,dev_1471,e commerce resources for doing business on the internet. there are many different types of e commerce depending upon who or what is selling and who or what is buying. in addition e commerce is more than an exchange of funds and goods or services it encompasses an entire infrastructure of services computer hardware and software products technologies and communications formats. the paper discusses e commerce terminology types and information resources including books and web sites.
inspec,dev_1472,surface textures improve the robustness of stereoscopic depth cues. this research develops design recommendations for surface textures patterns of color on object surfaces rendered with stereoscopic displays. in 3 method of adjustment procedure experiments 8 participants matched the disparity of a circular probe and a planar stimulus rendered using a single visible edge. the experiments varied stimulus orientation and surface texture. participants more accurately matched the depth of vertical stimuli than that of horizontal stimuli consistent with previous studies and existing theory. participants matched the depth of surfaces with large pixel to pixel luminance variations more accurately than they did surfaces with a small pixel to pixel luminance variation. finally they matched the depth of surfaces with vertical line patterns more accurately than they did surfaces with horizontal striped texture patterns. these results suggest that designers can enhance depth perception in stereoscopic displays and also reduce undesirable sensitivity to orientation by rendering objects with surface textures using large pixel to pixel luminance variations.
inspec,dev_1473,control performance with three translational degrees of freedom. for multiple degree of freedom dof systems it is important to determine how accurately operators can control each dof and what influence perceptual information processing and psychomotor components have on performance. sixteen right handed male students participated in 2 experiments 1 involving positioning and 1 involving tracking with 3 translational dofs. to separate perceptual and psychomotor effects we used 2 control display mappings that differed in the coupling of vertical and depth dimensions to the up down and fore aft control axes. we observed information processing effects in the positioning task initial error correction on the vertical dimension lagged in time behind the horizontal dimension. the depth dimension error correction lagged behind both which was ascribed to the poorer perceptual information. we observed this perceptual effect also in the tracking experiment. motor effects were also present with tracking errors along the up down axis of the hand controller being 1 1 times larger than along the fore aft axis. these results indicate that all 3 components contribute to control performance. actual applications of this research include interface design.
inspec,dev_1474,contrast sensitivity in a dynamic environment effects of target conditions and visual impairment. contrast sensitivity was determined as a function of target velocity 0 degrees 120 degrees s over a variety of viewing conditions. in experiment 1 measurements of dynamic contrast sensitivity were determined for observers as a function of target velocity for letter stimuli. significant main effects were found for target velocity target size and target duration but significant interactions among the variables indicated especially pronounced adverse effects of increasing target velocity for small targets and brief durations. in experiment 2 the effects of simulated cataracts were determined. although the simulated impairment had no effect on traditional acuity scores dynamic contrast sensitivity was markedly reduced. results are discussed in terms of dynamic contrast sensitivity as a useful composite measure of visual functioning that may provide a better overall picture of an individual s visual functioning than does traditional static acuity dynamic acuity or contrast sensitivity alone. the measure of dynamic contrast sensitivity may increase understanding of the practical effects of various conditions such as aging or disease on the visual system or it may allow improved prediction of individuals performance in visually dynamic situations.
inspec,dev_1475,relation between glare and driving performance. the present study investigated the effects of discomfort glare on driving behavior. participants old and young us and europeans were exposed to a simulated low beam light source mounted on the hood of an instrumented vehicle. participants drove at night in actual traffic along a track consisting of urban rural and highway stretches. the results show that the relatively low glare source caused a significant drop in detecting simulated pedestrians along the roadside and made participants drive significantly slower on dark and winding roads. older participants showed the largest drop in pedestrian detection performance and reduced their driving speed the most. the results indicate that the de boer rating scale the most commonly used rating scale for discomfort glare is practically useless as a predictor of driving performance. furthermore the maximum us headlamp intensity 1380 cd per headlamp appears to be an acceptable upper limit.
inspec,dev_1476,the perceived utility of human and automated aids in a visual detection task. although increases in the use of automation have occurred across society research has found that human operators often underutilize disuse and overly rely on misuse automated aids parasuraman riley 1997. nearly 275 cameron university students participated in 1 of 3 experiments performed to examine the effects of perceived utility dzindolet et al 2001 on automation use in a visual detection task and to compare reliance on automated aids with reliance on humans. results revealed a bias for human operators to rely on themselves. although self report data indicate a bias toward automated aids over human aids performance data revealed that participants were more likely to disuse automated aids than to disuse human aids. this discrepancy was accounted for by assuming human operators have a perfect automation schema. actual or potential applications of this research include the design of future automated decision aids and training procedures for operators relying on such aids.
inspec,dev_1477,ecological interface design progress and challenges. ecological interface design eid is a theoretical framework for designing human computer interfaces for complex socio technical systems. its primary aim is to support knowledge workers in adapting to change and novelty. this literature review shows that in situations requiring problem solving eid improves performance when compared with current design approaches in industry. eid has been applied to industry scale problems in a broad variety of application domains e g process control aviation computer network management software engineering medicine command and control and information retrieval and has consistently led to the identification of new information requirements. an experimental evaluation of eid using a full fidelity simulator with professional workers has yet to be conducted although some are planned. several significant challenges remain as obstacles to the confident use of eid in industry. promising paths for addressing these outstanding issues are identified. actual or potential applications of this research include improving the safety and productivity of complex socio technical systems.
inspec,dev_1478,the effects of work pace on within participant and between participant keying force electromyography and fatigue. a laboratory study was conducted to determine the effects of work pace on typing force electromyographic emg activity and subjective discomfort. we found that as participants typed faster their typing force and finger flexor and extensor emg activity increased linearly. there was also an increase in subjective discomfort with a sharp threshold between participants self selected pace and their maximum typing speed. the results suggest that participants self select a typing pace that maximizes typing speed and minimizes discomfort. the fastest typists did not produce significantly more finger flexor emg activity but did produce proportionately less finger extensor emg activity compared with the slower typists. we hypothesize that fast typists may use different muscle recruitment patterns that allow them to be more efficient than slower typists at striking the keys. in addition faster typists do not experience more discomfort than slow typists. these findings show that the relative pace of typing is more important than actual typing speed with regard to discomfort and muscle activity. these results suggest that typists may benefit from skill training to increase maximum typing speed. potential applications of this research includes skill training for typists.
inspec,dev_1479,agreeing with automated diagnostic aids a study of users concurrence strategies. automated diagnostic aids that are less than perfectly reliable often produce unwarranted levels of disuse by operators. in the present study users tendencies to either agree or disagree with automated diagnostic aids were examined under conditions in which 1 the aids were less than perfectly reliable but aided diagnosis was still more accurate that unaided diagnosis and 2 the system was completely opaque affording users no additional information upon which to base a diagnosis. the results revealed that some users adopted a strategy of always agreeing with the aids thereby maximizing the number of correct diagnoses made over several trials. other users however adopted a probability matching strategy in which agreement and disagreement rates matched the rate of correct and incorrect diagnoses of the aids. the probability matching strategy therefore resulted in diagnostic accuracy scores that were lower than was maximally possible. users who adopted the maximization strategy had higher self ratings of problem solving and decision making skills were more accurate in estimating aid reliabilities and were more confident in their diagnosis on trials in which they agreed with the aids. the potential applications of these findings include the design of interface and training solutions that facilitate the adoption of the most effective concurrence strategies by users of automated diagnostic aids.
inspec,dev_148,axioms for branching time. logics of general branching time or historical necessity have long been studied but important axiomatization questions remain open. here the difficulties of finding axioms for such logics are considered and ideas for solving some of the main open problems are presented. a new more expressive logical account is also given to support peirce s prohibition on truth values being attached to the contingent future.
inspec,dev_1480,formal verification of human automation interaction. this paper discusses a formal and rigorous approach to the analysis of operator interaction with machines. it addresses the acute problem of detecting design errors in human machine interaction and focuses on verifying the correctness of the interaction in complex and automated control systems. the paper describes a systematic methodology for evaluating whether the interface provides the necessary information about the machine to enable the operator to perform a specified task successfully and unambiguously. it also addresses the adequacy of information provided to the user via training materials e g user manual about the machine s behavior. the essentials of the methodology which can be automated and applied to the verification of large systems are illustrated by several examples and through a case study of pilot interaction with an autopilot aboard a modern commercial aircraft. the expected application of this methodology is an augmentation and enhancement by formal verification of human automation interfaces.
inspec,dev_1481,impact of aviation highway in the sky displays on pilot situation awareness. thirty six pilots 31 men 5 women were tested in a flight simulator on their ability to intercept a pathway depicted on a highway in the sky hits display. while intercepting and flying the pathway pilots were required to watch for traffic outside the cockpit. additionally pilots were tested on their awareness of speed altitude and heading during the flight. results indicated that the presence of a flight guidance cue significantly improved flight path awareness while intercepting the pathway but significant practice effects suggest that a guidance cue might be unnecessary if pilots are given proper training. the amount of time spent looking outside the cockpit while using the hits display was significantly less than when using conventional aircraft instruments. additionally awareness of flight information present on the hits display was poor. actual or potential applications of this research include guidance for the development of perspective flight display standards and as a basis for flight training requirements.
inspec,dev_1482,a parareal in time procedure for the control of partial differential equations. we have proposed in a previous note a time discretization for partial differential evolution equation that allows for parallel implementations. this scheme is here reinterpreted as a preconditioning procedure on an algebraic setting of the time discretization. this allows for extending the parallel methodology to the problem of optimal control for partial differential equations. we report a first numerical implementation that reveals a large interest.
inspec,dev_1483,hypothesis based concept assignment in software maintenance. software maintenance accounts for a significant proportion of the lifetime cost of a software system. software comprehension is required in many parts of the maintenance process and is one of the most expensive activities. many tools have been developed to help the maintainer reduce the time and cost of this task but of the numerous tools and methods available one group has received relatively little attention those using plausible reasoning to address the concept assignment problem. we present a concept assignment method for cobol ii hypothesis based concept assignment hb ca. an implementation of a prototype tool is described and results from a comprehensive evaluation using commercial cobol ii sources are summarised. in particular we identify areas of a standard maintenance process where such methods would be appropriate and discuss the potential cost savings that may result.
inspec,dev_1484,portfolio optimization and the random magnet problem. diversification of an investment into independently fluctuating assets reduces its risk. in reality movements of assets are mutually correlated and therefore knowledge of cross correlations among asset price movements are of great importance. our results support the possibility that the problem of finding an investment in stocks which exposes invested funds to a minimum level of risk is analogous to the problem of finding the magnetization of a random magnet. the interactions for this random magnet problem are given by the cross correlation matrix c of stock returns. we find that random matrix theory allows us to make an estimate for c which outperforms the standard estimate in terms of constructing an investment which carries a minimum level of risk.
inspec,dev_1485,telemedicine in the management of a cervical dislocation by a mobile neurosurgeon. neurosurgical teams who are normally located in specialist centres frequently use teleradiology to make a decision about the transfer of a patient to the nearest neurosurgical department. this decision depends on the type of pathology the clinical status of the patient and the prognosis. if the transfer of the patient is not possible for example because of an unstable clinical status a mobile neurosurgical team may be used. we report a case which was dealt with in a remote french military airborne surgical unit in the republic of chad. the unit which provides health care to the french military personnel stationed there also provides free medical care for the local population. it conducts about 100 operations each month. the unit comprises two surgeons an orthopaedic and a general surgeon one anaesthetist two anaesthetic nurses one operating room nurse two nurses three paramedics and a secretary. the civilian patient presented with unstable cervical trauma. a mobile neurosurgeon operated on her and used telemedicine before during and after surgery.
inspec,dev_1486,hand held digital video camera for eye examination and follow up. we developed a hand held digital colour video camera for eye examination in primary care. the device weighed 550 g. it featured a charge coupled device ccd and corrective optics. both colour video and digital still images could be taken. the video camera was connected to a pc with software for database storage image processing and telecommunication. we studied 88 normal subjects 38 male 50 female aged 7 62 years. it was not necessary to use mydriatic eye drops for pupillary dilation. satisfactory digital images of the whole face and the anterior eye were obtained. the optic disc and the central part of the ocular fundus could also be recorded. image quality of the face and the anterior eye were excellent image quality of the optic disc and macula were good enough for tele ophthalmology. further studies are needed to evaluate the usefulness of the equipment in different clinical conditions.
inspec,dev_1487,assessment of prehospital chest pain using telecardiology. two hundred general practitioners were equipped with a portable electrocardiograph which could transmit a 12 lead electrocardiogram ecg via a telephone line. a cardiologist was available 24 h a day for an interactive teleconsultation. in a 13 month period there were 5073 calls to the telecardiology service and 952 subjects with chest pain were identified. the telecardiology service allowed the general practitioners to manage 700 cases 74 themselves further diagnostic tests were requested for 162 patients 17 and 83 patients 9 were sent to the hospital emergency department. in the last group a cardiological diagnosis was confirmed in 60 patients and refuted in 23. seven patients in whom the telecardiology service failed to detect a cardiac problem were hospitalized in the subsequent 48 h. the telecardiology service showed a sensitivity of 97 4  a specificity of 89 5 and a diagnostic accuracy of 86 9 for chest pain. telemedicine could be a useful tool in the diagnosis of chest pain in primary care.
inspec,dev_1488,social presence in telemedicine. we studied consultations between a doctor emergency nurse practitioners enps and their patients in a minor accident and treatment service mats. in the conventional consultations all three people were located at the main hospital. in the teleconsultations the doctor was located in a hospital 6 km away from the mats and used a videoconferencing link connected at 384 kbit s. there were 30 patients in the conventional group and 30 in the telemedical group. the presenting problems were similar in the two groups. the mean duration of teleconsultations was 951 s and the mean duration of face to face consultations was 247 s. in doctor nurse communication there was a higher rate of turn taking in teleconsultations than in face to face consultations there were also more interruptions more words and more backchannels e g mhm  uh huh per teleconsultation. in doctor patient communication there was a higher rate of turn taking more words more interruptions and more backchannels per teleconsultation. in patient nurse communication there was. relatively little difference between the two modes of consulting the doctor. telemedicine appeared to empower the patient to ask more questions of the doctor. it also seemed that the doctor took greater care in a teleconsultation to achieve coordination of beliefs with the patient than in a face to face consultation.
inspec,dev_1489,an eight year study of internet based remote medical counselling. we carried out a prospective study of an internet based remote counselling service. a total of 15 456 internet users visited the web site over eight years. from these 1500 users were randomly selected for analysis. medical counselling had been granted to 901 of the people requesting it 60. one hundred and sixty four physicians formed project groups to process the requests and responded using email. the distribution of patients using the service was similar to the availability of the internet 78 were from the european union north america and australia. sixty seven per cent of the patients lived in urban areas and the remainder were residents of remote rural areas with limited local medical coverage. sixty five per cent of the requests were about problems of internal medicine and 30 of the requests concerned surgical issues. the remaining 5 of the patients sought information about recent developments such as molecular medicine or aviation medicine. during the project our portal became inaccessible five times and counselling was not possible on 44 days. there was no hacking of the web site. internet based medical counselling is a helpful addition to conventional practice.
inspec,dev_149,extending kamp s theorem to model time granularity. in this paper a generalization of kamp s theorem relative to the functional completeness of the until operator is proved. such a generalization consists in showing the functional completeness of more expressive temporal operators with respect to the extension of the first order theory of linear orders mfo with an extra binary relational symbol. the result is motivated by the search of a modal language capable of expressing properties and operators suitable to model time granularity in omega layered temporal structures.
inspec,dev_1490,client satisfaction in a feasibility study comparing face to face interviews with telepsychiatry. we carried out a pilot study comparing satisfaction levels between psychiatric patients seen face to face ftf and those seen via videoconference. patients who consented were randomly assigned to one of two groups. one group received services in person ftf from the visiting psychiatrist while the other was seen using videoconferencing at 128 kbit s. one psychiatrist provided all the ftf and videoconferencing assessment and follow up visits. a total of 24 subjects were recruited. three of the subjects 13 did not attend their appointments and two subjects in each group were lost to follow up. thus there were nine in the ftf group and eight in the videoconferencing group. the two groups were similar in most respects. patient satisfaction with the services was assessed using the client satisfaction questionnaire csq 8 completed four months after the initial consultation. the mean scores were 25 3 in the ftf group and 21 6 in the videoconferencing group. although there was a trend in favour of the ftf service the difference was not significant. patient satisfaction is only one component of evaluation. the efficacy of telepsychiatry must also be measured relative to that of conventional ftf care before policy makers can decide how extensively telepsychiatry should be implemented.
inspec,dev_1491,evaluation of videoconferenced grand rounds. we evaluated various aspects of grand rounds videoconferenced from a tertiary care hospital to a regional hospital in nova scotia. during a five month study period 29 rounds were broadcast 19 in medicine and 10 in cardiology. the total recorded attendance at the remote site was 103 comprising 70 specialists nine family physicians and 24 other health care professionals. we received 55 evaluations a response rate of 53. on a five point likert scale on which higher scores indicated better quality mean ratings by remote site participants of the technical quality of the videoconference were 3 0 3 5 with the lowest ratings being for ability to hear the discussion 3 0 and to see visual aids 3 1. mean ratings for content presentation discussion and educational value were 3 8 or higher. of the 49 physicians who presented the rounds we received evaluations from 41 a response rate of 84. the presenters rated all aspects of the videoconference and interaction with remote sites at 3 8 or lower. the lowest ratings were for ability to see the remote sites 3 0 and the usefulness of the discussion 3 4. we received 278 evaluations from participants at the presenting site an estimated response rate of about 55. the results indicated no adverse opinions of the effect of videoconferencing mean scores 3 1 3 3. the estimated costs of videoconferencing one grand round to one site and four sites were c 723 and c 1515 respectively. the study confirmed that videoconferenced rounds can provide satisfactory continuing medical education to community specialists which is an especially important consideration as maintenance of certification becomes mandatory.
inspec,dev_1492,a systematic review of the efficacy of telemedicine for making diagnostic and management decisions. we conducted a systematic review of the literature to evaluate the efficacy of telemedicine for making diagnostic and management decisions in three classes of application office hospital based store and forward and home based telemedicine. we searched the medline embase cinahl and healthstar databases and printed resources and interviewed investigators in the field. we excluded studies where the service did not historically require face to face encounters e g radiology or pathology diagnosis. a total of 58 articles met the inclusion criteria. the articles were summarized and graded for the quality and direction of the evidence. there were very few high quality studies. the strongest evidence for the efficacy of telemedicine for diagnostic and management decisions came from the specialties of psychiatry and dermatology. there was also reasonable evidence that general medical history and physical examinations performed via telemedicine had relatively good sensitivity and specificity. other specialties in which some evidence for efficacy existed were cardiology and certain areas of ophthalmology. despite the widespread use of telemedicine in most major medical specialties there is strong evidence in only a few of them that the diagnostic and management decisions provided by telemedicine are comparable to face to face care.
inspec,dev_1493,research into telehealth applications in speech language pathology. a literature review was conducted to investigate the extent to which telehealth has been researched within the domain of speech language pathology and the outcomes of this research. a total of 13 studies were identified. three early studies demonstrated that telehealth was feasible although there was no discussion of the cost effectiveness of this process in terms of patient outcomes. the majority of the subsequent studies indicated positive or encouraging outcomes resulting from telehealth. however there were a number of shortcomings in the research including a lack of cost benefit information failure to evaluate the technology itself an absence of studies of the educational and informational aspects of telehealth in relation to speech language pathology and the use of telehealth in a limited range of communication disorders. future research into the application of telehealth to speech language pathology services must adopt a scientific approach and have a well defined development and evaluation framework that addresses the effectiveness of the technique patient outcomes and satisfaction and the cost benefit relationship.
inspec,dev_1494,where have all the pc makers gone. pc makers are dwindling. if you are planning to make a pc purchase soon here are a few things to look out for before you buy.
inspec,dev_1495,laptops zip to 2 ghz plus. intel s pentium 4 m processor has reached the coveted 2 ghz mark and speed hungry mobile users will be tempted to buy a laptop with the chip. however while our exclusive tests found 2 ghz p4 m notebooks among the fastest units we ve tested the new models failed to make dramatic gains compared with those based on intel s 1 8 ghz mobile chip. since 2 ghz notebooks carry a hefty price premium buyers seeking both good performance and a good price might prefer a 1 8 ghz unit instead.
inspec,dev_1496,web ad explosion. financed by advertising dollars from big names online marketers are embracing more aggressive tactics.
inspec,dev_1497,research challenges and perspectives of the semantic web. accessing documents and services on today s web requires human intelligence. the interface to these documents and services is the web page written in natural language which humans must understand and act upon. the paper discusses the semantic web which will augment the current web with formalized knowledge and data that computers can process. in the future some services will mix human readable and structured data so that both humans and computers can use them. others will support formalized knowledge that only machines will use.
inspec,dev_1498,john mccarthy father of ai. if john mccarthy the father of ai were to coin a new phrase for artificial intelligence today he would probably use computational intelligence. mccarthy is not just the father of ai he is also the inventor of the lisp list processing language. the author considers mccarthy s conception of lisp and discusses mccarthy s recent research that involves elaboration tolerance creativity by machines free will of machines and some improved ways of doing situation calculus.
inspec,dev_1499,a digital driving system for smart vehicles. in the wake of the computer and information technology revolutions vehicles are undergoing dramatic changes in their capabilities and how they interact with drivers. although some vehicles can decide to either generate warnings for the human driver or control the vehicle autonomously they must usually make these decisions in real time with only incomplete information. so human drivers must still maintain control over the vehicle. i sketch a digital driving behavior model. by simulating and analyzing driver behavior during different maneuvers such as lane changing lane following and traffic avoidance researchers participating in the beijing institute of technology s digital driving project will be able to examine the possible correlations or causal relations between the smart vehicle iviss the intelligent road traffic information network and the driver. we aim to successfully demonstrate that a digital driving system can provide a direction for developing human centered smart vehicles.
inspec,dev_15,optimal and safe ship control as a multi step matrix game. the paper describes the process of the safe ship control in a collision situation using a differential game model with j participants. as an approximated model of the manoeuvring process a model of a multi step matrix game is adopted here. risktraj computer program is designed in the matlab language in order to determine the ship s trajectory as a certain sequence of manoeuvres executed by altering the course and speed in the online navigator decision support system. these considerations are illustrated with examples of a computer simulation of the safe ship s trajectories in real situation at sea when passing twelve of the encountered objects.
inspec,dev_150,model checking games for branching time logics. this paper defines and examines model checking games for the branching time temporal logic ctl. the games employ a technique called focus which enriches sets by picking out one distinguished element. this is necessary to avoid ambiguities in the regeneration of temporal operators. the correctness of these games is proved and optimizations are considered to obtain model checking games for important fragments of ctl. a game based model checking algorithm that matches the known lower and upper complexity bounds is sketched.
inspec,dev_1500,daml oil an ontology language for the semantic web. by all measures the web is enormous and growing at a staggering rate which has made it increasingly difficult and important for both people and programs to have quick and accurate access to web information and services. the semantic web offers a solution capturing and exploiting the meaning of terms to transform the web from a platform that focuses on presenting information to a platform that focuses on understanding and reasoning with information. to support semantic web development the us defense advanced research projects agency launched the darpa agent markup language daml initiative to fund research in languages tools infrastructure and applications that make web content more accessible and understandable. although the us government funds daml several organizations including us and european businesses and universities and international consortia such as the world wide web consortium have contributed to work on issues related to daml s development and deployment. we focus on daml s current markup language daml oil which is a proposed starting point for the w3c s semantic web activity s ontology web language owl. we introduce daml oil syntax and usage through a set of examples drawn from a wine knowledge base used to teach novices how to build ontologies.
inspec,dev_1501,computational challenges in cell simulation a software engineering approach. molecular biology s advent in the 20th century has exponentially increased our knowledge about the inner workings of life. we have dozens of completed genomes and an array of high throughput methods to characterize gene encodings and gene product operation. the question now is how we will assemble the various pieces. in other words given sufficient information about a living cell s molecular components can we predict its behavior. we introduce the major classes of cellular processes relevant to modeling discuss software engineering s role in cell simulation and identify cell simulation requirements. our e cell project aims to develop the theories techniques and software platforms necessary for whole cell scale modeling simulation and analysis. since the project s launch in 1996 we have built a variety of cell models and we are currently developing new models that vary with respect to species target subsystem and overall scale.
inspec,dev_1502,mining open answers in questionnaire data. surveys are important tools for marketing and for managing customer relationships the answers to open ended questions in particular often contain valuable information and provide an important basis for business decisions. the summaries that human analysts make of these open answers however tend to rely too much on intuition and so are n t satisfactorily reliable. moreover because the web makes it so easy to take surveys and solicit comments companies are finding themselves inundated with data from questionnaires and other sources. handling it all manually would be not only cumbersome but also costly. thus devising a computer system that can automatically mine useful information from open answers has become an important issue. we have developed a survey analysis system that works on these principles. the system mines open answers through two statistical learning techniques rule learning which we call rule analysis and correspondence analysis.
