dataset_id,subset_id,text_id,output
inspec,controlled,dev_1489,biomedical education;educational computing;electronic mail;information resources;internet;telemedicine
inspec,controlled,dev_149,decidability;temporal logic
inspec,controlled,dev_1490,human factors;medical computing;patient treatment;psychology;teleconferencing;telemedicine
inspec,controlled,dev_1491,biomedical education;certification;continuing education;educational computing;medical computing;teleconferencing;telemedicine
inspec,controlled,dev_1492,information analysis;information services;medical computing;reviews;telemedicine
inspec,controlled,dev_1493,cost benefit analysis;medical computing;reviews;speech;telemedicine
inspec,controlled,dev_1494,dp industry;microcomputers
inspec,controlled,dev_1495,computer evaluation;microprocessor chips;notebook computers
inspec,controlled,dev_1496,advertising;information resources;internet;marketing
inspec,controlled,dev_1497,artificial intelligence;information resources;internet
inspec,controlled,dev_1498,artificial intelligence;lisp
inspec,controlled,dev_1499,automated highways;driver information systems;intelligent control;road vehicles;user interfaces
inspec,controlled,dev_15,collision avoidance;computerised navigation;decision support systems;differential games;optimal control;path planning;real time systems;ships
inspec,controlled,dev_150,computability;computational complexity;temporal logic
inspec,controlled,dev_1500,computational linguistics;hypermedia markup languages;information resources;internet;knowledge engineering;software agents
inspec,controlled,dev_1501,biology computing;cellular biophysics;digital simulation;molecular biophysics;object oriented methods;software engineering
inspec,controlled,dev_1502,data analysis;data mining;learning artificial intelligence;marketing data processing;text analysis
inspec,controlled,dev_1503,classification;information resources;internet;learning artificial intelligence;online front ends;social aspects of automation
inspec,controlled,dev_1504,human factors;information systems;medical information systems;records management;software agents;task analysis;user centred design;user interfaces
inspec,controlled,dev_1505,digital simulation;user centred design
inspec,controlled,dev_1506,aerospace computing;aerospace control;aerospace robotics;intelligent control;software agents
inspec,controlled,dev_1507,airports;marketing data processing;negotiation support systems;personnel;reliability;travel industry;user centred design
inspec,controlled,dev_1508,emergency services;mobile robots
inspec,controlled,dev_1509,computational fluid dynamics;convergence of numerical methods;differential equations;elliptic equations;filtration;flow through porous media;lyapunov methods;permeability;viscosity
inspec,controlled,dev_151,specification languages;temporal logic
inspec,controlled,dev_1510,boundary value problems;differentiation;diffusion;integral equations;monte carlo methods;physics computing;random processes
inspec,controlled,dev_1511,boundary value problems;convergence of numerical methods;elliptic equations;finite element analysis;iterative methods
inspec,controlled,dev_1512,financial data processing;probability;series mathematics;statistical analysis;stock markets
inspec,controlled,dev_1513,coagulation;iterative methods;physics computing
inspec,controlled,dev_1514,computational geometry;interpolation;splines mathematics
inspec,controlled,dev_1515,computational geometry
inspec,controlled,dev_1516,computational geometry
inspec,controlled,dev_1517,computational geometry;minimisation;polynomials
inspec,controlled,dev_1518,cad cam;computational geometry;matrix algebra;splines mathematics
inspec,controlled,dev_1519,cad cam;computational geometry;computerised numerical control;interpolation;machining
inspec,controlled,dev_152,decidability;equivalence classes;temporal logic
inspec,controlled,dev_1520,computational geometry;polynomials;splines mathematics
inspec,controlled,dev_1521,cad cam;computational geometry;engineering graphics;interpolation;least squares approximations
inspec,controlled,dev_1522,business data processing;information resources;internet;security of data
inspec,controlled,dev_1523,business data processing;corporate modelling;diagrams;inheritance;object oriented methods
inspec,controlled,dev_1524,commerce;economic cybernetics;investment;probability
inspec,controlled,dev_1525,graph theory;multi agent systems;social sciences
inspec,controlled,dev_1526,computerised numerical control;discrete event simulation;flexible manufacturing systems;object oriented programming
inspec,controlled,dev_1527,discrete event simulation;knowledge acquisition;knowledge representation;process control
inspec,controlled,dev_1528,authorisation;computer network management;cooperative systems;discrete event simulation;expert systems
inspec,controlled,dev_1529,continuous time systems;discrete event simulation;piecewise constant techniques
inspec,controlled,dev_153,automata theory;temporal logic;theorem proving
inspec,controlled,dev_1530,cad
inspec,controlled,dev_1531,fredholm integral equations;mathematical operators;optimisation
inspec,controlled,dev_1532,number theory;polynomials
inspec,controlled,dev_1533,calibration;digital simulation;machining;optimisation;production engineering computing;scheduling
inspec,controlled,dev_1534,digital simulation;machining;path planning;production engineering computing
inspec,controlled,dev_1535,compensation;controllers;flow control;process control;semiconductor device manufacture
inspec,controlled,dev_1536,client server systems;internet;quality of service;telecommunication network management;telecommunication traffic;transport protocols
inspec,controlled,dev_1537,internet;multimedia communication;protocols;social aspects of automation;teleconferencing
inspec,controlled,dev_1538,asynchronous transfer mode;broadband networks;network topology;optimisation;resource allocation
inspec,controlled,dev_1539,iterative methods;poles and zeros;polynomials
inspec,controlled,dev_154,parallel programming;program verification;temporal logic;theorem proving
inspec,controlled,dev_1540,data reduction;error analysis;interpolation;mesh generation;piecewise linear techniques
inspec,controlled,dev_1541,microcontrollers;programming
inspec,controlled,dev_1542,home automation;home computing
inspec,controlled,dev_1543,logic design;reduced instruction set computing
inspec,controlled,dev_1544,character sets;computer graphics;user interfaces
inspec,controlled,dev_1545,fluid dynamics;maximum principle;optimal control
inspec,controlled,dev_1546,banach spaces;differential equations;optimal control
inspec,controlled,dev_1547,convergence of numerical methods;gradient methods;matrix algebra;newton method;set theory;vectors
inspec,controlled,dev_1548,error analysis;finite element analysis
inspec,controlled,dev_1549,differential equations;eigenvalues and eigenfunctions;matrix algebra;riccati equations
inspec,controlled,dev_155,fuzzy logic;fuzzy systems;inference mechanisms;markov processes;probability;uncertainty handling
inspec,controlled,dev_1550,convergence of numerical methods;variational techniques
inspec,controlled,dev_1551,boundary integral equations;differential equations;initial value problems
inspec,controlled,dev_1552,integro differential equations;numerical stability;runge kutta methods
inspec,controlled,dev_1553,error analysis;heat conduction;inverse problems;iterative methods;parabolic equations;relaxation theory
inspec,controlled,dev_1554,differentiation;functions;vectors
inspec,controlled,dev_1555,polynomials;quantum optics
inspec,controlled,dev_1556,interpolation;poles and zeros
inspec,controlled,dev_1557,polynomials
inspec,controlled,dev_1558,jacobian matrices;polynomials
inspec,controlled,dev_1559,conjugate gradient methods;iterative methods
inspec,controlled,dev_156,alarm systems;cellular radio;fault diagnosis;logic programming;telecommunication computing;telecommunication network reliability
inspec,controlled,dev_1560,chebyshev approximation;determinants;difference equations;polynomials;riccati equations
inspec,controlled,dev_1561,approximation theory;differentiation;integration;interpolation
inspec,controlled,dev_1562,bessel functions;integral equations
inspec,controlled,dev_1563,matrix algebra;probability;statistical analysis
inspec,controlled,dev_1564,probability;statistical analysis
inspec,controlled,dev_1565,jacobian matrices;polynomials
inspec,controlled,dev_1566,approximation theory;differential equations;functional equations
inspec,controlled,dev_1567,function approximation;poles and zeros
inspec,controlled,dev_1568,artificial life;computational linguistics;natural languages
inspec,controlled,dev_1569,artificial life;cellular automata;field programmable gate arrays;reconfigurable architectures;self reproducing automata
inspec,controlled,dev_157,eigenvalues and eigenfunctions;face recognition;feature extraction;generalisation artificial intelligence;learning artificial intelligence;multilayer perceptrons
inspec,controlled,dev_1570,artificial life;cellular automata;self reproducing automata
inspec,controlled,dev_1571,artificial life;genetic algorithms;living systems
inspec,controlled,dev_1572,artificial life;heuristic programming;learning artificial intelligence;optimisation;search problems
inspec,controlled,dev_1574,handicapped aids;information resources
inspec,controlled,dev_1578,electronic commerce;records management
inspec,controlled,dev_158,air pollution;environmental science computing;fuzzy logic;fuzzy neural nets;geophysics computing;knowledge based systems;knowledge representation;learning artificial intelligence
inspec,controlled,dev_1583,workflow management software
inspec,controlled,dev_1584,document handling;information resources;records management
inspec,controlled,dev_1588,document handling;information resources
inspec,controlled,dev_1589,document handling;information resources;law administration
inspec,controlled,dev_159,inference mechanisms;knowledge based systems;real time systems
inspec,controlled,dev_1590,records management
inspec,controlled,dev_1591,approximation theory;curve fitting;interpolation
inspec,controlled,dev_1592,interpolation;invariance;polynomials
inspec,controlled,dev_1593,approximation theory;boundary value problems;convergence of numerical methods;error analysis;optimisation;parabolic equations;partial differential equations
inspec,controlled,dev_1594,convergence;gradient methods;learning artificial intelligence;minimisation;multilayer perceptrons
inspec,controlled,dev_1595,approximation theory;digital simulation;error analysis;finite element analysis;free energy;physics computing;superconductivity
inspec,controlled,dev_1596,acoustics;boundary value problems;communication complexity;integral equations;wavelet transforms
inspec,controlled,dev_1597,adaptive systems;cellular radio;conformance testing;genetic algorithms;heuristic programming;isdn;protocols;search problems;simulated annealing;telecommunication computing;telecommunication equipment testing;telecommunication network reliability
inspec,controlled,dev_1598,advertising;decision support systems;marketing;sensitivity analysis
inspec,controlled,dev_1599,computational linguistics;decision theory;fuzzy set theory;group decision support systems;military computing;military systems
inspec,controlled,dev_16,forecasting theory;multi agent systems;optimisation;time series;virtual reality
inspec,controlled,dev_160,information retrieval;information storage;library automation
inspec,controlled,dev_1600,decision support systems;fuzzy logic;health care;kidney;medical expert systems;professional aspects
inspec,controlled,dev_1601,facility location;heuristic programming;marketing;retailing;simulated annealing
inspec,controlled,dev_1602,object oriented programming;optimisation;planning;project management;software development management;software reusability
inspec,controlled,dev_1603,dynamic programming;queueing theory;stochastic processes;stock control
inspec,controlled,dev_1604,decision theory;forecasting theory;management science;manufacture;stock control
inspec,controlled,dev_1605,graph theory;heuristic programming;operations research;optimisation;search problems
inspec,controlled,dev_1606,computational complexity;dynamic programming;heuristic programming;production control
inspec,controlled,dev_1607,delay estimation;queueing theory;railways
inspec,controlled,dev_1608,maintenance engineering;optimisation;reliability theory
inspec,controlled,dev_1609,data envelopment analysis;distributed decision making;linear programming;production
inspec,controlled,dev_161,electronic publishing;library automation
inspec,controlled,dev_1610,dynamic programming;operations research;power consumption;space heating;spreadsheet programs
inspec,controlled,dev_1611,business data processing;data mining;data warehouses;information technology
inspec,controlled,dev_1613,electric current control;harmonics suppression;power distribution control;power factor;power system harmonics;rectifying circuits
inspec,controlled,dev_1614,fault location;graphical user interfaces;power system analysis computing;power transmission faults;power transmission lines;transmission line theory;transmission network calculations;wavelet transforms
inspec,controlled,dev_1615,closed loop systems;frequency domain analysis;poles and zeros;polynomials;reduced order systems;robust control;stochastic systems;time domain analysis;transfer functions
inspec,controlled,dev_1616,speech processing;statistical analysis
inspec,controlled,dev_1617,adaptive antenna arrays;adaptive signal detection;code division multiple access;multiuser channels;radial basis function networks
inspec,controlled,dev_1618,learning artificial intelligence;pattern classification;radial basis function networks
inspec,controlled,dev_1619,video coding;visual communication
inspec,controlled,dev_162,information resources;information retrieval;information science
inspec,controlled,dev_1620,band pass filters;circuit cad;circuit simulation;microwave filters;passive filters;resonator filters
inspec,controlled,dev_1621,cmos analogue integrated circuits;current mode circuits;fuzzy neural nets;low power electronics;neural chips;piecewise linear techniques;vlsi
inspec,controlled,dev_1622,internet;visual communication
inspec,controlled,dev_1623,internet;multimedia communication;quality of service;visual communication
inspec,controlled,dev_1624,control system analysis;controllability;convergence of numerical methods;genetic algorithms;mimo systems;multivariable control systems;observability;time domain analysis
inspec,controlled,dev_1625,awgn;correlation methods;fuzzy systems;speech processing
inspec,controlled,dev_1626,adaptive filters;convergence of numerical methods;filtering theory;least mean squares methods;mean square error methods;signal processing
inspec,controlled,dev_1627,adaptive estimation;adaptive signal processing;blind equalisers;gaussian noise;higher order statistics;moving average processes;parameter estimation;time varying channels
inspec,controlled,dev_1628,adaptive estimation;adaptive signal processing;computational complexity;covariance matrices;direction of arrival estimation;eigenvalues and eigenfunctions;newton method
inspec,controlled,dev_1629,feedback;learning artificial intelligence;manipulator dynamics;mobile robots;multivariable control systems;neurocontrollers;nonlinear control systems;position control;recurrent neural nets;runge kutta methods;time varying systems
inspec,controlled,dev_163,boolean algebra;information resources;query formulation;search engines
inspec,controlled,dev_1630,analogue digital conversion;calibration;gaussian noise;pipeline processing;white noise
inspec,controlled,dev_1631,computational complexity;public key cryptography;smart cards
inspec,controlled,dev_1632,digital arithmetic;digital filters;fir filters;frequency domain synthesis;multiplying circuits
inspec,controlled,dev_1633,bipolar logic circuits;flip flops;heterojunction bipolar transistors;high speed integrated circuits;iii v semiconductors;indium compounds;integrated circuit layout;integrated circuit packaging;timing jitter
inspec,controlled,dev_1634,software reviews;symbol manipulation
inspec,controlled,dev_1635,data analysis;software reviews;statistical databases
inspec,controlled,dev_1636,electronic publishing;research initiatives
inspec,controlled,dev_1637,electronic publishing
inspec,controlled,dev_1638,chemistry computing;hypermedia markup languages;information resources;internet
inspec,controlled,dev_1639,natural sciences computing
inspec,controlled,dev_164,academic libraries;information science;teaching
inspec,controlled,dev_1640,biology computing;biotechnology;chemistry computing;laboratory techniques;software packages
inspec,controlled,dev_1641,computer games;computer graphics;entertainment;natural sciences computing
inspec,controlled,dev_1642,business data processing;human factors;information retrieval;information systems;intranets;online front ends;user interfaces
inspec,controlled,dev_1643,human factors;information resources;user interfaces
inspec,controlled,dev_1644,decision support systems;diagnostic expert systems;diagnostic reasoning;fault diagnosis;industrial plants;knowledge representation;learning by example
inspec,controlled,dev_1645,human factors;human resource management;information technology;personnel;public administration;social aspects of automation
inspec,controlled,dev_1646,human factors;three dimensional displays;user interfaces;visual perception
inspec,controlled,dev_1647,character sets;educational computing;human factors;text analysis;user interfaces
inspec,controlled,dev_1648,furniture
inspec,controlled,dev_1649,computer stationery;paper;purchasing;stock control
inspec,controlled,dev_165,information resources;publishing
inspec,controlled,dev_1650,buyer s guides;photocopying
inspec,controlled,dev_1651,approximation theory;computational complexity;differential equations;matrix algebra
inspec,controlled,dev_1652,finite volume methods;nonlinear equations;parabolic equations
inspec,controlled,dev_1653,computational complexity;conjugate gradient methods;eigenvalues and eigenfunctions;hermitian matrices;toeplitz matrices
inspec,controlled,dev_1654,matrix algebra;optimisation
inspec,controlled,dev_1655,business data processing;computer based training;interactive systems;multimedia computing;statistical analysis;user modelling
inspec,controlled,dev_1656,business data processing;groupware;human factors;information technology
inspec,controlled,dev_1657,information resources;information systems;social aspects of automation;strategic planning
inspec,controlled,dev_1658,chaos;information systems;pattern recognition
inspec,controlled,dev_1659,cellular radio;electronic commerce;integrated software;mobile computing
inspec,controlled,dev_166,information resources;meta data;software agents;vocabulary
inspec,controlled,dev_1660,conjugate gradient methods;sparse matrices
inspec,controlled,dev_1661,retailing;stock control
inspec,controlled,dev_1663,internet;retailing;satellite ground stations
inspec,controlled,dev_1664,retailing
inspec,controlled,dev_1665,air traffic control;airports;mathematical programming;scheduling;singularly perturbed systems;travel industry
inspec,controlled,dev_1666,air traffic;mathematical operators;scheduling;simulated annealing;travel industry
inspec,controlled,dev_1667,constraint handling;constraint theory;human resource management;integer programming;linear programming;matrix algebra;scheduling;transportation
inspec,controlled,dev_1668,duality mathematics;human resource management;integer programming;search problems;travel industry
inspec,controlled,dev_1669,goods distribution;integer programming;paper industry;production control
inspec,controlled,dev_167,education;management science;statistical analysis
inspec,controlled,dev_1670,human resource management;integer programming;operations research;railways;scheduling
inspec,controlled,dev_1671,agriculture;constraint handling;constraint theory;goods distribution;locomotives;scheduling
inspec,controlled,dev_1672,call centres;exponential distribution;human resource management;operations research;police;queueing theory;stochastic processes
inspec,controlled,dev_1673,genetic algorithms;integer programming;military systems;operations research;surveillance;synthetic aperture radar
inspec,controlled,dev_1674,goods distribution;integer programming;linear programming
inspec,controlled,dev_1675,agriculture;covariance matrices;dynamic programming;genetics;operations research;simulation;tree searching
inspec,controlled,dev_1676,rapid transit systems;scheduling;search problems
inspec,controlled,dev_1677,integer programming;minimisation
inspec,controlled,dev_1678,convex programming;decision theory;newton method;parallel algorithms;predictor corrector methods
inspec,controlled,dev_1679,decision theory;integer programming;minimisation;nonlinear programming;project management;scheduling;tree searching
inspec,controlled,dev_168,behavioural sciences;business data processing;human factors;management science
inspec,controlled,dev_1680,computational complexity;dynamic programming;minimisation;production control
inspec,controlled,dev_1681,computational complexity;directed graphs;integer programming;linear programming;operations research
inspec,controlled,dev_1682,data mining
inspec,controlled,dev_1683,education;teleconferencing
inspec,controlled,dev_1684,computer aided instruction;distance learning
inspec,controlled,dev_1685,construction industry;internet;project management
inspec,controlled,dev_1686,internet
inspec,controlled,dev_1687,management information systems;records management
inspec,controlled,dev_1688,document handling;management information systems
inspec,controlled,dev_169,manufacturing resources planning;production control;project management;resource allocation;stock control
inspec,controlled,dev_1692,accreditation;document image processing;training
inspec,controlled,dev_1693,document image processing;health care
inspec,controlled,dev_1694,digital simulation;handicapped aids;mechanical stability;medical computing
inspec,controlled,dev_1695,history;medical image processing;reviews
inspec,controlled,dev_1696,biomedical ultrasonics;image resolution;medical image processing;wavelet transforms
inspec,controlled,dev_1697,acoustic tomography;biomedical ultrasonics;fourier transforms;image reconstruction;medical image processing;microwave imaging;thermoacoustics
inspec,controlled,dev_1698,acoustic tomography;biomedical ultrasonics;image reconstruction;medical image processing;thermoacoustics
inspec,controlled,dev_1699,backpropagation;image reconstruction;medical image processing;microwave imaging;thermoacoustics
inspec,controlled,dev_17,discrete time systems;fault diagnosis;fault tolerance;kalman filters;linear systems;robust control;state estimation;stochastic systems
inspec,controlled,dev_170,budgeting;flexible manufacturing systems;management science
inspec,controlled,dev_1700,computerised tomography;differential equations;image reconstruction;medical image processing
inspec,controlled,dev_1701,biomedical mri;cardiology;image segmentation;image sequences;medical image processing;motion estimation;physiological models
inspec,controlled,dev_1702,angiocardiography;calibration;image reconstruction;image sequences;medical image processing;shape measurement
inspec,controlled,dev_1703,calibration;image reconstruction;infrared imaging;measurement errors;medical image processing;optical tomography;statistical analysis
inspec,controlled,dev_1704,image reconstruction;infrared imaging;inverse problems;iterative methods;medical image processing;optical tomography;statistical analysis
inspec,controlled,dev_1705,biomechanics;cardiology;computerised tomography;decision support systems;eye;feature extraction;lung;markov processes;medical image processing;visual perception
inspec,controlled,dev_1706,angiocardiography;image reconstruction;medical image processing;prosthetics
inspec,controlled,dev_1707,image registration;image sensors;infrared imaging;military equipment;remote sensing;sensor fusion
inspec,controlled,dev_1708,computer literacy;employment;hotel industry;management education;travel industry
inspec,controlled,dev_1709,computer aided instruction;distance learning;internet;teaching;travel industry
inspec,controlled,dev_171,education;human resource management;management science;training
inspec,controlled,dev_1710,budgeting data processing;courseware;hotel industry;internet;management education;multimedia computing;planning
inspec,controlled,dev_1711,catering industry;courseware;hotel industry;management education;teaching
inspec,controlled,dev_1712,certification;message authentication;public key cryptography;tree searching
inspec,controlled,dev_1713,authorisation;client server systems;data privacy;information resources
inspec,controlled,dev_1714,data privacy;internet;multicast communication;protocols;telecommunication network routing
inspec,controlled,dev_1715,commissioning;firmware;power station control;thermal power stations
inspec,controlled,dev_1716,actuators;reliability;steam turbines;valves;vibrations
inspec,controlled,dev_1717,data mining;health care
inspec,controlled,dev_1719,computer network management;uninterruptible power supplies
inspec,controlled,dev_172,computerised control;high energy physics instrumentation computing;system buses
inspec,controlled,dev_1721,health care;mainframes;network servers
inspec,controlled,dev_1723,health care;invoicing;workflow management software
inspec,controlled,dev_1724,health care;mobile computing
inspec,controlled,dev_1725,health care;mobile computing;security of data
inspec,controlled,dev_1726,hidden markov models;maximum likelihood estimation;speech recognition
inspec,controlled,dev_1727,linguistics;speech recognition
inspec,controlled,dev_1728,pareto distribution
inspec,controlled,dev_1729,electronic commerce;internet;software maintenance;systems analysis
inspec,controlled,dev_173,data mining;expert systems;financial data processing;heuristic programming;knowledge engineering;stock markets
inspec,controlled,dev_1730,dp management;professional communication;project management
inspec,controlled,dev_1731,dp industry;economics;employment
inspec,controlled,dev_1732,human resource management;personnel;social aspects of automation
inspec,controlled,dev_1733,government policies;groupware;natural sciences computing;wide area networks
inspec,controlled,dev_1734,auditing
inspec,controlled,dev_1735,accounting;buyer s guides
inspec,controlled,dev_1736,accounting;computer based training;document handling;information resources;management information systems;marketing;outsourcing;teleconferencing;wireless lan
inspec,controlled,dev_1737,disasters;planning;system recovery
inspec,controlled,dev_1738,accounting;information resources
inspec,controlled,dev_1739,decision theory;fuzzy set theory;possibility theory
inspec,controlled,dev_174,biocontrol;biotechnology;identification;intelligent control;process control
inspec,controlled,dev_1740,estimation theory;politics;probability;set theory
inspec,controlled,dev_1741,decision theory;game theory
inspec,controlled,dev_1742,functions;nonlinear programming;set theory
inspec,controlled,dev_1743,adaptive control;closed loop systems;compensation;flexible structures;poles and zeros;position control;proportional control;stability;two term control;velocity control
inspec,controlled,dev_1744,convergence;elliptic equations;sequences
inspec,controlled,dev_1745,differential equations;gradient index optics;optimal control;piecewise constant techniques
inspec,controlled,dev_1746,deformation;differential equations;eigenvalues and eigenfunctions;finite element analysis;intelligent structures;laminates;piezoelectric materials;structural engineering computing;thermoelasticity
inspec,controlled,dev_1747,bending;bending strength;fatigue;fibre reinforced composites;finite element analysis;internal stresses;laminates;mechanical engineering computing;stress analysis;stress strain relations;thermomechanical treatment
inspec,controlled,dev_1748,elastoplasticity;fibre reinforced composites;internal stresses;laminates;mechanical engineering computing;micromechanics;viscoplasticity
inspec,controlled,dev_1749,civil engineering computing;finite element analysis;mechanical stability;wind
inspec,controlled,dev_175,agriculture;diagnostic expert systems;nonmonotonic reasoning;truth maintenance;uncertainty handling
inspec,controlled,dev_1750,eigenvalues and eigenfunctions;least squares approximations;lyapunov methods
inspec,controlled,dev_1751,approximation theory;polynomials;runge kutta methods;stability
inspec,controlled,dev_1752,differential equations;finite element analysis
inspec,controlled,dev_1753,mean square error methods;monte carlo methods;probability;risk management;simulation;stochastic processes
inspec,controlled,dev_1754,disasters;risk management
inspec,controlled,dev_1755,differentiation;matrix algebra;number theory
inspec,controlled,dev_1756,number theory
inspec,controlled,dev_1757,equivalence classes;number theory
inspec,controlled,dev_1758,hilbert transforms;number theory
inspec,controlled,dev_1759,interpolation;number theory
inspec,controlled,dev_176,decision support systems;heuristic programming;knowledge acquisition;medical expert systems;object oriented methods;patient treatment;specification languages
inspec,controlled,dev_1760,number theory
inspec,controlled,dev_1761,approximation theory;galerkin method;piecewise linear techniques
inspec,controlled,dev_1762,interpolation;nonlinear differential equations;polynomials;stability
inspec,controlled,dev_1763,boundary integral equations;extrapolation
inspec,controlled,dev_1764,computational geometry;error analysis;interpolation
inspec,controlled,dev_1765,invariance;wavelet transforms
inspec,controlled,dev_1766,matrix algebra;polynomials;wavelet transforms
inspec,controlled,dev_1767,fractals;interpolation
inspec,controlled,dev_1768,computational geometry;graph theory
inspec,controlled,dev_1769,artificial intelligence;functional programming;logic programming
inspec,controlled,dev_177,data mining;decision trees;demography;mobile communication;telecommunication computing;very large databases
inspec,controlled,dev_1770,decision trees;learning by example
inspec,controlled,dev_1771,number theory
inspec,controlled,dev_1772,employment;library automation;personnel
inspec,controlled,dev_1773,employment;information science;library automation;personnel
inspec,controlled,dev_1774,information science;library automation;management of change;personnel;technology transfer
inspec,controlled,dev_1775,library automation;technology transfer
inspec,controlled,dev_1776,academic libraries;human resource management;personnel
inspec,controlled,dev_1777,employment;library automation;personnel
inspec,controlled,dev_1778,continuing education;employment;human resource management;libraries;personnel;professional aspects
inspec,controlled,dev_1779,employment;human resource management;information science;libraries;personnel;professional aspects
inspec,controlled,dev_178,case based reasoning;database indexing;deductive databases;parallel processing;problem solving
inspec,controlled,dev_1780,academic libraries;employment;human resource management;information science;personnel;professional aspects;public libraries
inspec,controlled,dev_1781,academic libraries;continuing education;employment;human resource management;information science;personnel;professional aspects
inspec,controlled,dev_1782,employment;human resource management;information science;libraries;personnel;professional aspects
inspec,controlled,dev_1783,academic libraries;employment;human resource management;information science;personnel;professional aspects
inspec,controlled,dev_1784,bibliographies;social aspects of automation
inspec,controlled,dev_1785,computer games;computer literacy;dp industry;gender issues;personnel
inspec,controlled,dev_1786,computer science education;statistical analysis;teaching
inspec,controlled,dev_1787,digital libraries;information systems;social aspects of automation
inspec,controlled,dev_1788,cryptography;electronic commerce;internet;message authentication;transaction processing
inspec,controlled,dev_1789,banking;computer crime;legislation
inspec,controlled,dev_179,business data processing;case based reasoning;document handling;workflow management software
inspec,controlled,dev_1790,copyright;electronic publishing;internet
inspec,controlled,dev_1791,distance learning;educational computing;educational courses;internet;teaching
inspec,controlled,dev_1792,database management systems;digital libraries;management;query processing
inspec,controlled,dev_1793,business communication;business data processing;computer viruses;electronic mail;internet;marketing data processing
inspec,controlled,dev_1794,causality;filtering theory;functional analysis;gaussian noise;image restoration;iterative methods;nonlinear filters;partial differential equations;smoothing methods
inspec,controlled,dev_1795,cryptography;internet telephony;protocols;security of data
inspec,controlled,dev_1796,approximation theory;differentiating circuits;finite difference methods;fir filters;frequency response;series mathematics;two dimensional digital filters
inspec,controlled,dev_1797,convergence;feedforward neural nets;handwritten character recognition;kalman filters;learning artificial intelligence;pattern classification;piecewise linear techniques;transfer functions
inspec,controlled,dev_1798,digital magnetic recording;equalisers;magnetic disc storage;magnetic recording noise;radial basis function networks
inspec,controlled,dev_1799,blind equalisers;convolution;correlation methods;mean square error methods;mimo systems
inspec,controlled,dev_18,calculus;time series
inspec,controlled,dev_180,mobile computing;notebook computers
inspec,controlled,dev_1800,least squares approximations;modelling;nonlinear systems;statistical analysis;time series
inspec,controlled,dev_1801,client server systems;file servers;internet
inspec,controlled,dev_1802,fuzzy control;performance evaluation;telecommunication congestion control;transport protocols;tuning;two term control
inspec,controlled,dev_1803,binary sequences;computational complexity;cryptography;polynomials
inspec,controlled,dev_1804,logic cad;modules;simulated annealing;trees mathematics
inspec,controlled,dev_1805,antialiasing;automatic testing;error statistics;logic testing;shift registers;vlsi
inspec,controlled,dev_1806,digital signal processing chips;iterative methods;processor scheduling
inspec,controlled,dev_1807,controllability;distributed parameter systems;gradient methods;minimisation;numerical analysis;optimal control
inspec,controlled,dev_1808,autoregressive processes;eigenvalues and eigenfunctions;identification;modelling;polynomials
inspec,controlled,dev_1809,adaptive control;control system synthesis;feedforward neural nets;h sup infinity control;linear systems;matrix algebra;multilayer perceptrons;neurocontrollers;nonlinear control systems;state feedback;uncertain systems
